"","Position","Height","Playtype","Name","Rating","Team"
"858","PG / SG","6'2""","All-Around Threat","Jerry West",97,"All-Time Los Angeles Lakers"
"859","SF / PF","6'5""","One of a Kind","Elgin Baylor",96,"All-Time Los Angeles Lakers"
"860","SF / PF","6'8""","2-Way Inside-Out Point Forward","LeBron James",96,"All-Time Los Angeles Lakers"
"861","C / PF","7'2""","2-Way Inside-the-Arc Scorer","Kareem Abdul-Jabbar",96,"All-Time Los Angeles Lakers"
"862","SF / PF","6'9""","2-Way 3-Level Scorer","James Worthy",95,"All-Time Los Angeles Lakers"
"863","C","6'10""","2-Way 3-Level Scorer","George Mikan",94,"All-Time Los Angeles Lakers"
"864","PF / C","6'10""","2-Way 3-Level Scorer","Anthony Davis",94,"All-Time Los Angeles Lakers"
"865","C / PF","7'1""","Paint Beast","Wilt Chamberlain",91,"All-Time Los Angeles Lakers"
"866","SG / PG","6'1""","All-Around Threat","Gail Goodrich",89,"All-Time Los Angeles Lakers"
"867","SF / SG","6'6""","2-Way Inside-the-Arc Scorer","Jamaal Wilkes",87,"All-Time Los Angeles Lakers"
"868","SG / PG","6'3""","All-Around Threat","Byron Scott",86,"All-Time Los Angeles Lakers"
"869","SG / PG","6'5""","2-Way 3-Level Scorer","Michael Cooper",86,"All-Time Los Angeles Lakers"
"870","PF","6'10""","Inside the Arc Playmaker","Paolo Banchero",84,"Orlando Magic"
"871","SF / PF","6'10""","3-Level Scorer","Franz Wagner",84,"Orlando Magic"
"872","C","6'10""","2-Way 3-Level Scorer","Wendell Carter Jr.",82,"Orlando Magic"
"873","PG / SG","6'4""","2-Way Slashing Playmaker","Markelle Fultz",82,"Orlando Magic"
"874","PG / SG","6'3""","Offensive Threat","Cole Anthony",80,"Orlando Magic"
"875","PF / SF","6'10""","2-Way Shooter","Jonathan Isaac",78,"Orlando Magic"
"876","PF / C","6'11""","Mid-Range Shooter","Moritz Wagner",78,"Orlando Magic"
"877","C / PF","7'2""","Interior Finisher","Bol Bol",78,"Orlando Magic"
"878","PG / SG","6'5""","2-Way Inside-the-Arc Creator","Jalen Suggs",76,"Orlando Magic"
"879","C","6'11""","Glass Cleaner","Goga Bitadze",75,"Orlando Magic"
"880","SG / SF","6'4""","2-Way Inside-Out Scorer","Gary Harris",75,"Orlando Magic"
"881","PF / SF","6'6""","Hybrid Defender","Chuma Okeke",74,"Orlando Magic"
"882","SF / SG","6'8""","Shooter","Caleb Houstan",71,"Orlando Magic"
"883","PG / SG","6'5""","Floor General","Michael Carter-Williams",71,"Orlando Magic"
"884","SF / SG","6'5""","Stretch Four","Admiral Schofield",70,"Orlando Magic"
"885","SG","6'6""","3PT Shooter","Kevon Harris",69,"Orlando Magic"
"886","SG / SF","6'5""","Athletic Finisher","Jay Scrubb",67,"Orlando Magic"
"887","C / PF","7'1""","Paint Beast","Shaquille O’Neal",94,"1994-95 Orlando Magic"
"888","PG / SG","6'7""","2-Way Playshot","Penny Hardaway",86,"1994-95 Orlando Magic"
"889","SG / SF","6'6""","2-Way Sharpshooter","Nick Anderson",83,"1994-95 Orlando Magic"
"890","PF / C","6'10""","Defensive Anchor","Horace Grant",82,"1994-95 Orlando Magic"
"891","SF / SG","6'8""","Sharpshooter","Dennis Scott",82,"1994-95 Orlando Magic"
"892","PG / SG","6'6""","Floor General","Brian Shaw",74,"1994-95 Orlando Magic"
"893","PG","6'0""","Tempo-Pushing Wing","Darrell Armstrong",73,"1994-95 Orlando Magic"
"894","SF / SG","6'8""","Perimeter Defender","Donald Royal",73,"1994-95 Orlando Magic"
"895","SF / PF","6'9""","3PT Specialist","Jeff Turner",71,"1994-95 Orlando Magic"
"896","C / PF","7'1""","Paint Protector","Tree Rollins",70,"1994-95 Orlando Magic"
"897","SG / SF","6'6""","Mid-Range Specialist","Anthony Bowie",70,"1994-95 Orlando Magic"
"898","SG / PG","6'8""","All-Around Threat","Tracy McGrady",95,"All-Time Orlando Magic"
"899","PG / SG","6'7""","All-Around Threat","Penny Hardaway",94,"All-Time Orlando Magic"
"900","C / PF","7'1""","Paint Beast","Shaquille O’Neal",93,"All-Time Orlando Magic"
"901","C","6'11""","Paint Beast","Dwight Howard",93,"All-Time Orlando Magic"
"902","PF / SF","6'10""",NA,"Rashard Lewis",86,"All-Time Orlando Magic"
"903","SF / PF","6'10""",NA,"Hedo Turkoglu",86,"All-Time Orlando Magic"
"904","SF / SG","6'8""","2-Way Inside-the-Arc Scorer","Grant Hill",86,"All-Time Orlando Magic"
"905","C","7'0""","3-Level Scoring Glass Cleaner","Nikola Vucevic",86,"All-Time Orlando Magic"
"906","SG / SF","6'6""","2-Way Sharpshooter","Nick Anderson",85,"All-Time Orlando Magic"
"907","PG / SG","6'3""","2-Way Inside-Out Playmaker","Steve Francis",85,"All-Time Orlando Magic"
"908","PG","6'1""","Playmaking Shot Creator","Scott Skiles",84,"All-Time Orlando Magic"
"909","SF / SG","6'8""","Sharpshooter","Dennis Scott",84,"All-Time Orlando Magic"
"910","PF / C","6'10""","2-Way Inside-the-Arc Scorer","Horace Grant",84,"All-Time Orlando Magic"
"911","PG","6'0""","Playmaking Shot Creator","Jameer Nelson",83,"All-Time Orlando Magic"
"912","PG","6'0""","Playmaking Shot Creator","Darrell Armstrong",83,"All-Time Orlando Magic"
"913","PG / SF","6'7""","Versatile Offensive Force","Luka Doncic",97,"Dallas Mavericks"
"914","PG / SG","6'2""","Versatile Offensive Force","Kyrie Irving",91,"Dallas Mavericks"
"915","C / PF","6'9""","Inside-Out Scorer","Christian Wood",82,"Dallas Mavericks"
"916","SF / SG","6'5""","3PT Specialist","Tim Hardaway Jr.",78,"Dallas Mavericks"
"917","SG","6'3""","3-Level Shot Creator","Jaden Hardy",77,"Dallas Mavericks"
"918","C / PF","6'10""","Inside-Out Scorer","Dwight Powell",77,"Dallas Mavericks"
"919","SG / SF","6'6""","Stretch Four","Reggie Bullock",77,"Dallas Mavericks"
"920","C","7'0""","Paint Beast","JaVale McGee",76,"Dallas Mavericks"
"921","SF / SG","6'7""","Inside-Out Scorer","Josh Green",76,"Dallas Mavericks"
"922","PF / C","6'10""","Stretch Four","Maxi Kleber",75,"Dallas Mavericks"
"923","PF / C","6'9""","Inside-Out Scorer","Markieff Morris",74,"Dallas Mavericks"
"924","PF","6'10""","Stretch Four","Davis Bertans",73,"Dallas Mavericks"
"925","SF / SG","6'6""","3PT Shooter","Justin Holiday",73,"Dallas Mavericks"
"926","PG / SG","6'4""","2-Way Mid-Range Creator","Frank Ntilikina",72,"Dallas Mavericks"
"927","SG / PG","6'7""","3PT Specialist","Theo Pinson",72,"Dallas Mavericks"
"928","PG","5'11""","3PT Shooter","McKinley Wright IV",68,"Dallas Mavericks"
"929","SG","6'6""","Prospect","A.J. Lawson",67,"Dallas Mavericks"
"930","PF / C","7'0""","2-Way 3-Level Scorer","Dirk Nowitzki",92,"2002-03 Dallas Mavericks"
"931","PG","6'3""","Versatile Offensive Force","Steve Nash",88,"2002-03 Dallas Mavericks"
"932","SF / SG","6'7""","3-Level Scorer","Michael Finley",82,"2002-03 Dallas Mavericks"
"933","SG / PG","6'1""","Playmaking Shot Creator","Nick Van Exel",82,"2002-03 Dallas Mavericks"
"934","C / SF","6'11""","2-Way Stretch Five","Raef LaFrentz",78,"2002-03 Dallas Mavericks"
"935","C","7'6""","2-Way Interior Finisher","Shawn Bradley",75,"2002-03 Dallas Mavericks"
"936","SF / SG","6'8""","3PT Specialist","Eduardo Najera",75,"2002-03 Dallas Mavericks"
"937","SF / SG","6'8""","3PT Shooter","Walt Williams",74,"2002-03 Dallas Mavericks"
"938","SG","6'6""","Interior Finisher","Tariq Abdul-Wahad",73,"2002-03 Dallas Mavericks"
"939","SG","6'5""","Shooter","Raja Bell",72,"2002-03 Dallas Mavericks"
"940","PG / SG","5'10""","Tempo-Pushing Point","Avery Johnson",71,"2002-03 Dallas Mavericks"
"941","SG","6'5""","Inside the Arc Scorer","Adrian Griffin",71,"2002-03 Dallas Mavericks"
"942","PF","6'8""","Paint Protector","Popeye Jones",68,"2002-03 Dallas Mavericks"
"943","C","6'11""","Paint Protector","Evan Eschmeyer",68,"2002-03 Dallas Mavericks"
"944","PF / C","7'1""","2-Way 3-Level Scorer","Dirk Nowitzki",96,"2010-11 Dallas Mavericks"
"945","PG / SG","6'2""","Versatile Offensive Force","Jason Terry",86,"2010-11 Dallas Mavericks"
"946","C","7'1""","Defensive Anchor","Tyson Chandler",84,"2010-11 Dallas Mavericks"
"947","SF / PF","6'7""","2-Way Inside-the-Arc Scorer","Shawn Marion",83,"2010-11 Dallas Mavericks"
"948","PG / SG","6'4""","2-Way Inside-Out Playmaker","Jason Kidd",82,"2010-11 Dallas Mavericks"
"949","SF","6'7""","2-Way Sharpshooter","Caron Butler",80,"2010-11 Dallas Mavericks"
"950","SG","6'9""","Sharpshooter","Peja Stojakovic",77,"2010-11 Dallas Mavericks"
"951","SG","6'5""","2-Way Sharpshooter","DeShawn Stevenson",77,"2010-11 Dallas Mavericks"
"952","PG","6'0""",NA,"J.J. Barea",77,"2010-11 Dallas Mavericks"
"953","SF / SG","6'9""","2-Way Inside-the-Arc Scorer","Corey Brewer",76,"2010-11 Dallas Mavericks"
"954","C","7'0""","Defensive Anchor","Brendan Haywood",75,"2010-11 Dallas Mavericks"
"955","C","6'11""","Defensive Anchor","Ian Mahinmi",72,"2010-11 Dallas Mavericks"
"956","SF","6'10""","Stretch Four","Brian Cardinal",72,"2010-11 Dallas Mavericks"
"957","PF / C","7'1""","2-Way Diming 3-Level Scorer","Dirk Nowitzki",98,"All-Time Dallas Mavericks"
"958","SF / SG","6'7""","Versatile Offensive Force","Luka Doncic",94,"All-Time Dallas Mavericks"
"959","PG / SG","6'4""","2-Way Playshot","Derek Harper",89,"All-Time Dallas Mavericks"
"960","SF / PF","6'6""","2-Way 3-Level Scorer","Mark Aguirre",88,"All-Time Dallas Mavericks"
"961","SF","6'8""","3-Level Scorer","Jamal Mashburn",88,"All-Time Dallas Mavericks"
"962","SG","6'6""","All-Around Threat","Rolando Blackman",88,"All-Time Dallas Mavericks"
"963","SG","6'6""","2-Way 3-Level Scorer","Jim Jackson",88,"All-Time Dallas Mavericks"
"964","SF / SG","6'7""","2-Way 3-Level Scorer","Michael Finley",88,"All-Time Dallas Mavericks"
"965","PG / SG","6'4""","2-Way Playshot","Jason Kidd",87,"All-Time Dallas Mavericks"
"966","PG","6'3""","Versatile Offensive Force","Steve Nash",87,"All-Time Dallas Mavericks"
"967","PG / SG","6'2""","Versatile Offensive Force","Jason Terry",86,"All-Time Dallas Mavericks"
"968","C","7'2""","Paint Beast","James Donaldson",85,"All-Time Dallas Mavericks"
"969","PG","6'3""","Playmaking Shot Creator","Brad Davis",84,"All-Time Dallas Mavericks"
"970","C","7'6""","Paint Beast","Shawn Bradley",82,"All-Time Dallas Mavericks"
"971","SF / PF","6'6""","2-Way Sharpshooter","Mikal Bridges",87,"Brooklyn Nets"
"972","C / PF","6'11""","Defensive Anchor","Nicolas Claxton",84,"Brooklyn Nets"
"973","PG / SG","6'5""","Playmaking Shot Creator","Spencer Dinwiddie",83,"Brooklyn Nets"
"974","PF / SF","6'8""","3-Level Scorer","Cameron Johnson",80,"Brooklyn Nets"
"975","PG / PF","6'10""","2-Way Slashing Playmaker","Ben Simmons",78,"Brooklyn Nets"
"976","SG / SF","6'3""","3-Level Scorer","Cameron Thomas",78,"Brooklyn Nets"
"977","SF / PF","6'7""","2-Way Inside-Out Scorer","Dorian Finney-Smith",77,"Brooklyn Nets"
"978","SG / PG","6'1""","3-Level Scorer","Seth Curry",77,"Brooklyn Nets"
"979","SF / SG","6'6""","3PT Specialist","Joe Harris",76,"Brooklyn Nets"
"980","SG / PG","6'4""","Inside-Out Scorer","Edmond Sumner",76,"Brooklyn Nets"
"981","SF / PF","6'6""","2-Way Stretch Four","Royce O’Neale",76,"Brooklyn Nets"
"982","SF / PF","6'8""","Stretch Four","Yuta Watanabe",75,"Brooklyn Nets"
"983","PG","6'0""","Shot Creator","Patty Mills",74,"Brooklyn Nets"
"984","C","6'9""","Glass Cleaner","Day’Ron Sharpe",73,"Brooklyn Nets"
"985","PG","6'4""","Prospect","David Duke Jr.",72,"Brooklyn Nets"
"986","PF / C","6'8""","Stretch Four","Raiquan Gray",69,"Brooklyn Nets"
"987","PG","6'3""","3PT Shooter","Dru Smith",67,"Brooklyn Nets"
"988","PG / SG","6'4""","2-Way Slashing Playmaker","Jason Kidd",94,"2001-02 New Jersey Nets"
"989","PF / C","6'9""","2-Way 3-Level Scorer","Kenyon Martin",83,"2001-02 New Jersey Nets"
"990","SF / PF","6'10""","2-Way 3-Level Scorer","Keith Van Horn",82,"2001-02 New Jersey Nets"
"991","SG / SF","6'5""","2-Way Sharpshooter","Kerry Kittles",82,"2001-02 New Jersey Nets"
"992","SF / SG","6'7""","Inside the Arc Scorer","Richard Jefferson",78,"2001-02 New Jersey Nets"
"993","PF / SF","6'9""","Stretch Four","Brian Scalabrine",72,"2001-02 New Jersey Nets"
"994","C / PF","6'9""","Paint Protector","Aaron Williams",72,"2001-02 New Jersey Nets"
"995","C","7'0""","Glass Cleaner","Todd MacCulloch",72,"2001-02 New Jersey Nets"
"996","C","7'0""","Paint Protector","Jason Collins",71,"2001-02 New Jersey Nets"
"997","SF / SG","6'6""","All-Around Threat","Julius Erving",97,"All-Time Brooklyn Nets"
"998","PF / SF","6'10""","2-Way 3-Level Playmaker","Kevin Durant",96,"All-Time Brooklyn Nets"
"999","PG / SG","6'4""","2-Way Playshot","Jason Kidd",95,"All-Time Brooklyn Nets"
"1000","SG / PG","6'5""","Versatile Offensive Force","James Harden",93,"All-Time Brooklyn Nets"
"1001","SG / SF","6'5""","2-Way Diming 3-Level Scorer","Drazen Petrovic",90,"All-Time Brooklyn Nets"
"1002","PG","6'2""","Versatile Offensive Force","Kyrie Irving",89,"All-Time Brooklyn Nets"
"1003","SF / SG","6'6""","All-Around Threat","Vince Carter",89,"All-Time Brooklyn Nets"
"1004","PF / C","6'8""","2-Way Inside-the-Arc Scorer","Buck Williams",88,"All-Time Brooklyn Nets"
"1005","PG","6'0""","All-Around Threat","Kenny Anderson",88,"All-Time Brooklyn Nets"
"1006","PF / PF","6'10""","2-Way 3-Level Scorer","Derrick Coleman",88,"All-Time Brooklyn Nets"
"1007","SF / SG","6'7""","3-Level Scorer","Richard Jefferson",87,"All-Time Brooklyn Nets"
"1008","C","7'0""","2-Way 3-Level Scorer","Brook Lopez",87,"All-Time Brooklyn Nets"
"1009","PF / C","6'9""","2-Way 3-Level Scorer","Kenyon Martin",87,"All-Time Brooklyn Nets"
"1010","SF / PF","6'10""","Sharpshooter","Keith Van Horn",86,"All-Time Brooklyn Nets"
"1011","SG","6'3""","2-Way Slashing Combo Guard","Otis Birdsong",86,"All-Time Brooklyn Nets"
"1012","C","6'11""","Diming 3-Level Scorer","Nikola Jokic",97,"Denver Nuggets"
"1013","PG / SG","6'4""","Versatile Offensive Force","Jamal Murray",84,"Denver Nuggets"
"1014","SF / SG","6'10""","3-Level Scorer","Michael Porter Jr.",83,"Denver Nuggets"
"1015","PF / SF","6'8""","Lob Threat","Aaron Gordon",83,"Denver Nuggets"
"1016","SG / SF","6'4""","Inside-Out Scorer","Bruce Brown Jr.",77,"Denver Nuggets"
"1017","SG / SF","6'5""","2-Way Sharpshooter","Kentavious Caldwell-Pope",77,"Denver Nuggets"
"1018","C / PF","6'10""","3-Level Scoring Glass Cleaner","Thomas Bryant",76,"Denver Nuggets"
"1019","PG / SG","6'2""","Inside-Out Shot Creator","Reggie Jackson",75,"Denver Nuggets"
"1020","C / PF","6'9""","Mid-Range Shooter","Zeke Nnaji",75,"Denver Nuggets"
"1021","PF / C","6'8""","Hybrid Defender","Jeff Green",75,"Denver Nuggets"
"1022","SG / SF","6'6""","Sharpshooter","Christian Braun",73,"Denver Nuggets"
"1023","PG","6'0""","3PT Playmaker","Ish Smith",73,"Denver Nuggets"
"1024","PF / SF","6'8""","Inside-Out Scorer","Vlatko Cancar",73,"Denver Nuggets"
"1025","C","6'11""","Glass Cleaner","DeAndre Jordan",72,"Denver Nuggets"
"1026","SF / SG","6'7""","Perimeter Defender","Peyton Watson",71,"Denver Nuggets"
"1027","PG","6'1""","3PT Shooter","Collin Gillespie",68,"Denver Nuggets"
"1028","SF","6'7""","Rebounder","Jack White",67,"Denver Nuggets"
"1029","C / PF","7'2""","Defensive Anchor","Dikembe Mutombo",84,"1993-94 Denver Nuggets"
"1030","PG / SG","6'1""","Sharpshooter","Mahmoud Abdul-Rauf",84,"1993-94 Denver Nuggets"
"1031","PF / SF","6'8""","2-Way Interior Finisher","LaPhonso Ellis",81,"1993-94 Denver Nuggets"
"1032","SF / SG","6'7""","2-Way 3-Level Scorer","Reggie Williams",78,"1993-94 Denver Nuggets"
"1033","SG / SF","6'5""","2-Way Mid-Range Shooter","Bryant Stith",77,"1993-94 Denver Nuggets"
"1034","PG / SG","6'2""","Diming Finisher","Robert Pack",76,"1993-94 Denver Nuggets"
"1035","PF / SF","6'7""","3-Level Scorer","Rodney Rogers",74,"1993-94 Denver Nuggets"
"1036","PF / C","6'9""","Paint Protector","Tom Hammonds",73,"1993-94 Denver Nuggets"
"1037","SF / PF","6'8""","Offensive Threat","Carmelo Anthony",93,"2007-08 Denver Nuggets"
"1038","SG / PG","6'0""","Offensive Threat","Allen Iverson",89,"2007-08 Denver Nuggets"
"1039","C","6'11""","Defensive Anchor","Marcus Camby",87,"2007-08 Denver Nuggets"
"1040","PF / C","6'9""","2-Way Inside-the-Arc Scorer","Kenyon Martin",80,"2007-08 Denver Nuggets"
"1041","SG / SF","6'6""","2-Way 3-Level Scorer","J.R. Smith",79,"2007-08 Denver Nuggets"
"1042","SF / SG","6'8""","3PT Shooter","Eduardo Najera",75,"2007-08 Denver Nuggets"
"1043","C / PF","7'0""","Paint Protector","Steven Hunter",73,"2007-08 Denver Nuggets"
"1044","SG","6'7""","Tempo-Pushing Guard","Yakhouba Diawara",69,"2007-08 Denver Nuggets"
"1045","SF","6'8""",NA,"Linas Kleiza",NA,"2007-08 Denver Nuggets"
"1046","SG / SF","6'4""","2-Way Diming 3-Level Scorer","David Thompson",95,"All-Time Denver Nuggets"
"1047","SF / PF","6'8""","All-Around Threat","Carmelo Anthony",95,"All-Time Denver Nuggets"
"1048","SF / PF","6'7""","2-Way Slashing Point Forward","Alex English",93,"All-Time Denver Nuggets"
"1049","C","7'0""","Diming 3-Level Scorer","Nikola Jokic",93,"All-Time Denver Nuggets"
"1050","PF / C","6'9""","2-Way Inside-the-Arc Scorer","Dan Issel",92,"All-Time Denver Nuggets"
"1051","PG / SG","6'3""","2-Way Playshot","Fat Lever",92,"All-Time Denver Nuggets"
"1052","SG / PG","6'0""","2-Way Playshot","Allen Iverson",90,"All-Time Denver Nuggets"
"1053","C / PF","7'2""","Paint Beast","Dikembe Mutombo",90,"All-Time Denver Nuggets"
"1054","SF / PF","6'8""","Sharpshooter","Kiki Vandeweghe",89,"All-Time Denver Nuggets"
"1055","PG / SG","6'1""","Diming 3-Level Scorer","Mahmoud Abdul-Rauf",89,"All-Time Denver Nuggets"
"1056","PF / SF","6'9""","2-Way Inside-the-Arc Scorer","Byron Beck",89,"All-Time Denver Nuggets"
"1057","PG / SG","6'3""","All-Around Threat","Chauncey Billups",88,"All-Time Denver Nuggets"
"1058","PF / C","6'9""","2-Way Inside-the-Arc Scorer","Antonio McDyess",88,"All-Time Denver Nuggets"
"1059","C","6'11""","Defensive Anchor","Marcus Camby",85,"All-Time Denver Nuggets"
"1060","PG / SG","6'4""","All-Around Threat","Jamal Murray",85,"All-Time Denver Nuggets"
"1061","SG / PG","6'5""","Versatile Offensive Force","Tyrese Haliburton",89,"Indiana Pacers"
"1062","C","6'11""","2-Way 3-Level Scorer","Myles Turner",85,"Indiana Pacers"
"1063","SG / SF","6'4""","Shooter","Buddy Hield",80,"Indiana Pacers"
"1064","SG / SF","6'5""","Inside the Arc Scorer","Bennedict Mathurin",79,"Indiana Pacers"
"1065","PG","6'1""","2-Way Diming 3-Level Scorer","T.J. McConnell",78,"Indiana Pacers"
"1066","PG","6'3""","Diming 3-Level Scorer","Andrew Nembhard",77,"Indiana Pacers"
"1067","C / PF","6'9""","Interior Finisher","Isaiah Jackson",76,"Indiana Pacers"
"1068","C / PF","6'9""","Glass-Cleaning Finisher","Jalen Smith",76,"Indiana Pacers"
"1069","SF / PF","6'9""","Stretch Four","Jordan Nwora",76,"Indiana Pacers"
"1070","SF / SG","6'5""","3PT Shooter","Aaron Nesmith",76,"Indiana Pacers"
"1071","SG / SF","6'5""","Interior Finisher","Chris Duarte",75,"Indiana Pacers"
"1072","PF / C","6'8""","2-Way Inside-the-Arc Scorer","Daniel Theis",75,"Indiana Pacers"
"1073","PF / C","6'7""","Rebounder","Oshae Brissett",73,"Indiana Pacers"
"1074","PG / SG","6'4""","Mid-Range Shot Creator","George Hill",73,"Indiana Pacers"
"1075","PF / C","6'7""","Hybrid Defender","James Johnson",71,"Indiana Pacers"
"1076","SF","6'7""","Athletic Finisher","Kendall Brown",69,"Indiana Pacers"
"1077","PG / SG","6'3""","Shooter","Gabe York",67,"Indiana Pacers"
"1078","SF","6'9""","2-Way 3-Level Point Forward","Paul George",92,"2013-14 Indiana Pacers"
"1079","C","7'2""","Paint Beast","Roy Hibbert",83,"2013-14 Indiana Pacers"
"1080","PF","6'9""","2-Way Inside-the-Arc Scorer","David West",81,"2013-14 Indiana Pacers"
"1081","SG / SF","6'5""","Inside-Out Shot Creator","Lance Stephenson",80,"2013-14 Indiana Pacers"
"1082","PG","6'3""","2-Way Playshot","George Hill",80,"2013-14 Indiana Pacers"
"1083","PG","6'2""","3 & D Point","C.J. Watson",75,"2013-14 Indiana Pacers"
"1084","PF","6'9""","Inside-Out Glass Cleaner","Luis Scola",75,"2013-14 Indiana Pacers"
"1085","SF / PG","6'7""","Mid-Range Shooter","Evan Turner",73,"2013-14 Indiana Pacers"
"1086","C","6'11""","Paint Protector","Ian Mahinmi",73,"2013-14 Indiana Pacers"
"1087","SF / PF","6'7""","Perimeter Lockdown","Solomon Hill",72,"2013-14 Indiana Pacers"
"1088","SF / SG","6'9""","2-Way 3-Level Point Forward","Paul George",93,"All-Time Indiana Pacers"
"1089","C / PF","6'9""","2-Way Inside-the-Arc Scorer","Mel Daniels",92,"All-Time Indiana Pacers"
"1090","PF / C","6'11""","2-Way Inside-the-Arc Creator","Jermaine O’Neal",91,"All-Time Indiana Pacers"
"1091","PG / SG","6'0""","2-Way Slashing Playmaker","Freddie Lewis",89,"All-Time Indiana Pacers"
"1092","PF / C","6'8""","2-Way 3-Level Scorer","George McGinnis",89,"All-Time Indiana Pacers"
"1093","SG / PG","6'4""","2-Way Diming 3-Level Scorer","Victor Oladipo",88,"All-Time Indiana Pacers"
"1094","SF / PF","6'9""","2-Way 3-Level Point Forward","Danny Granger",88,"All-Time Indiana Pacers"
"1095","SF","6'6""","2-Way Shooter","Ron Artest",88,"All-Time Indiana Pacers"
"1096","PF / C","6'9""","Paint Beast","Bob Netolicky",88,"All-Time Indiana Pacers"
"1097","C","7'4""","2-Way Inside-the-Arc Scorer","Rik Smits",87,"All-Time Indiana Pacers"
"1098","SF / PF","6'8""","2-Way 3-Level Scorer","Chuck Person",87,"All-Time Indiana Pacers"
"1099","PG / SG","6'4""","2-Way Playshot","Don Buse",87,"All-Time Indiana Pacers"
"1100","C","7'2""","2-Way Inside-the-Arc Scorer","Roy Hibbert",86,"All-Time Indiana Pacers"
"1101","PF / C","6'11""","Diming Finisher","Domantas Sabonis",86,"All-Time Indiana Pacers"
"1102","SF / SG","6'8""","Offensive Threat","Jalen Rose",86,"All-Time Indiana Pacers"
"1103","C / PF","6'10""","Paint Beast","Herb Williams",85,"All-Time Indiana Pacers"
"1104","PG","6'1""","2-Way Playshot","Mark Jackson",85,"All-Time Indiana Pacers"
"1105","PF / C","6'9""","2-Way 3-Level Scorer","Clark Kellogg",85,"All-Time Indiana Pacers"
"1106","SG","6'7""",NA,"Reggie Miller",NA,"All-Time Indiana Pacers"
"1107","PF / C","6'6""","Slashing Playmaker","Zion Williamson",92,"New Orleans Pelicans"
"1108","SF / PF","6'8""","3-Level Scoring Point Forward","Brandon Ingram",87,"New Orleans Pelicans"
"1109","SG / PG","6'3""","Versatile Offensive Force","C.J. McCollum",84,"New Orleans Pelicans"
"1110","C","6'11""","Inside-Out Glass Cleaner","Jonas Valanciunas",83,"New Orleans Pelicans"
"1111","PF / SF","6'8""","Inside-Out Scorer","Trey Murphy",80,"New Orleans Pelicans"
"1112","SF / SG","6'7""","2-Way Inside-Out Scorer","Herbert Jones",79,"New Orleans Pelicans"
"1113","PF / SF","6'8""","Inside-Out Scorer","Larry Nance Jr.",77,"New Orleans Pelicans"
"1114","PG","6'0""","2-Way Inside-Out Scorer","Jose Alvarado",77,"New Orleans Pelicans"
"1115","C","6'11""","Glass-Cleaning Finisher","Willy Hernangomez",76,"New Orleans Pelicans"
"1116","SG","6'7""","2-Way Slasher","Dyson Daniels",75,"New Orleans Pelicans"
"1117","SG / SF","6'6""","2-Way 3-Level Scorer","Josh Richardson",75,"New Orleans Pelicans"
"1118","C","7'0""","2-Way Interior Finisher","Jaxson Hayes",75,"New Orleans Pelicans"
"1119","SF / PF","6'7""","Inside the Arc Scorer","Naji Marshall",75,"New Orleans Pelicans"
"1120","PG","6'1""","3PT Shot Creator","Kira Lewis Jr.",73,"New Orleans Pelicans"
"1121","PF / SF","6'6""","Rim Protector","E.J. Liddell",70,"New Orleans Pelicans"
"1122","SG / SF","6'6""","Perimeter Lockdown","Garrett Temple",70,"New Orleans Pelicans"
"1123","SG / SF","6'5""","Athletic Finisher","Dereon Seabron",67,"New Orleans Pelicans"
"1124","PG","6'0""","All-Around Threat","Chris Paul",97,"All-Time New Orleans Pelicans"
"1125","C / PF","6'10""","2-Way 3-Level Scorer","Anthony Davis",94,"All-Time New Orleans Pelicans"
"1126","PG / SG","6'3""","2-Way Playshot","Baron Davis",92,"All-Time New Orleans Pelicans"
"1127","SF / PF","6'8""","3-Level Scorer","Jamal Mashburn",89,"All-Time New Orleans Pelicans"
"1128","PF","6'7""","Slashing Playmaker","Zion Williamson",88,"All-Time New Orleans Pelicans"
"1129","PF / C","6'9""","2-Way Inside-the-Arc Scorer","David West",88,"All-Time New Orleans Pelicans"
"1130","SG / SF","6'4""","2-Way Playshot","Jrue Holiday",86,"All-Time New Orleans Pelicans"
"1131","SF / PF","6'7""",NA,"Brandon Ingram",85,"All-Time New Orleans Pelicans"
"1132","C / PF","6'11""","2-Way 3-Level Scorer","DeMarcus Cousins",85,"All-Time New Orleans Pelicans"
"1133","SG","6'0""","2-Way Diming 3-Level Scorer","David Wesley",84,"All-Time New Orleans Pelicans"
"1134","C","7'1""","Defensive Anchor","Tyson Chandler",83,"All-Time New Orleans Pelicans"
"1135","PF / C","6'9""","Inside-Out Scorer","Julius Randle",83,"All-Time New Orleans Pelicans"
"1136","SG","6'9""","Sharpshooter","Peja Stojakovic",82,"All-Time New Orleans Pelicans"
"1137","PG / SG","6'6""","2-Way Inside-Out Playmaker","Lonzo Ball",82,"All-Time New Orleans Pelicans"
"1138","SG / PF","6'4""","Diming Sharpshooter","Eric Gordon",81,"All-Time New Orleans Pelicans"
"1139","PG / SG","6'7""","Playmaking Shot Creator","Cade Cunningham",84,"Detroit Pistons"
"1140","PF / SF","6'7""","Sharpshooter","Bojan Bogdanovic",82,"Detroit Pistons"
"1141","PG / SG","6'4""","Playmaking Shot Creator","Jaden Ivey",81,"Detroit Pistons"
"1142","PF / C","6'11""","Glass-Cleaning Finisher","Jalen Duren",80,"Detroit Pistons"
